Lugar de residencia;CODIGO_INE3;Anual;Medida;Valor;
Andújar;23005;2022;Población municipal;36030;
Arjona;23006;2022;Población municipal;5397;
Arjonilla;23007;2022;Población municipal;3535;
Arquillos;23008;2022;Población municipal;1698;
Arroyo del Ojanco;23905;2022;Población municipal;2227;
Baeza;23009;2022;Población municipal;15773;
Bailén;23010;2022;Población municipal;17377;
Baños de la Encina;23011;2022;Población municipal;2594;
Beas de Segura;23012;2022;Población municipal;5112;
Bedmar y Garcíez;23902;2022;Población municipal;2637;
Begíjar;23014;2022;Población municipal;3008;
Bélmez de la Moraleda;23015;2022;Población municipal;1519;
Benatae;23016;2022;Población municipal;448;
Cabra del Santo Cristo;23017;2022;Población municipal;1745;
Cambil;23018;2022;Población municipal;2642;
Campillo de Arenas;23019;2022;Población municipal;1705;
Canena;23020;2022;Población municipal;1802;
Carboneros;23021;2022;Población municipal;593;
Cárcheles;23901;2022;Población municipal;1310;
Castellar;23025;2022;Población municipal;3209;
Castillo de Locubín;23026;2022;Población municipal;3960;
Cazalilla;23027;2022;Población municipal;745;
Cazorla;23028;2022;Población municipal;7183;
Chiclana de Segura;23029;2022;Población municipal;902;
Chilluévar;23030;2022;Población municipal;1397;
Escañuela;23031;2022;Población municipal;932;
Espeluy;23032;2022;Población municipal;606;
Frailes;23033;2022;Población municipal;1565;
Fuensanta de Martos;23034;2022;Población municipal;3023;
Fuerte del Rey;23035;2022;Población municipal;1309;
Génave;23037;2022;Población municipal;573;
Guarromán;23039;2022;Población municipal;2748;
Higuera de Calatrava;23041;2022;Población municipal;609;
Hinojares;23042;2022;Población municipal;335;
Hornos;23043;2022;Población municipal;589;
Huelma;23044;2022;Población municipal;5615;
Huesa;23045;2022;Población municipal;2445;
Ibros;23046;2022;Población municipal;2787;
Iznatoraf;23048;2022;Población municipal;905;
Jabalquinto;23049;2022;Población municipal;1968;
Jaén (capital);23050;2022;Población municipal;111669;
Jamilena;23051;2022;Población municipal;3314;
Jimena;23052;2022;Población municipal;1253;
Jódar;23053;2022;Población municipal;11533;
La Carolina;23024;2022;Población municipal;14960;
La Guardia de Jaén;23038;2022;Población municipal;5151;
La Iruela;23047;2022;Población municipal;1910;
La Puerta de Segura;23072;2022;Población municipal;2245;
Lahiguera;23040;2022;Población municipal;1638;
Larva;23054;2022;Población municipal;459;
Linares;23055;2022;Población municipal;55729;
Lopera;23056;2022;Población municipal;3616;
Los Villares;23099;2022;Población municipal;6120;
Lupión;23057;2022;Población municipal;830;
Mancha Real;23058;2022;Población municipal;11350;
Marmolejo;23059;2022;Población municipal;6660;
Martos;23060;2022;Población municipal;24329;
Mengíbar;23061;2022;Población municipal;9965;
Montizón;23062;2022;Población municipal;1606;
Navas de San Juan;23063;2022;Población municipal;4465;
Noalejo;23064;2022;Población municipal;1856;
Orcera;23065;2022;Población municipal;1752;
Peal de Becerro;23066;2022;Población municipal;5345;
Pegalajar;23067;2022;Población municipal;2823;
Porcuna;23069;2022;Población municipal;6080;
Pozo Alcón;23070;2022;Población municipal;4633;
Puente de Génave;23071;2022;Población municipal;2175;
Quesada;23073;2022;Población municipal;5106;
Rus;23074;2022;Población municipal;3465;
Sabiote;23075;2022;Población municipal;3863;
Santa Elena;23076;2022;Población municipal;883;
Santiago de Calatrava;23077;2022;Población municipal;655;
Santiago-Pontones;23904;2022;Población municipal;2777;
Santisteban del Puerto;23079;2022;Población municipal;4434;
Santo Tomé;23080;2022;Población municipal;2105;
Segura de la Sierra;23081;2022;Población municipal;1729;
Siles;23082;2022;Población municipal;2168;
Sorihuela del Guadalimar;23084;2022;Población municipal;1053;
Torreblascopedro;23085;2022;Población municipal;2460;
Torredelcampo;23086;2022;Población municipal;13922;
Torredonjimeno;23087;2022;Población municipal;13467;
Torreperogil;23088;2022;Población municipal;7130;
Torres;23090;2022;Población municipal;1360;
Torres de Albánchez;23091;2022;Población municipal;758;
Úbeda;23092;2022;Población municipal;34062;
Valdepeñas de Jaén;23093;2022;Población municipal;3597;
Vilches;23094;2022;Población municipal;4317;
Villacarrillo;23095;2022;Población municipal;10484;
Villanueva de la Reina;23096;2022;Población municipal;3013;
Villanueva del Arzobispo;23097;2022;Población municipal;7968;
Villardompardo;23098;2022;Población municipal;935;
Villarrodrigo;23101;2022;Población municipal;375;
Villatorres;23903;2022;Población municipal;4293;
Alameda;29001;2022;Población municipal;5451;
Alcaucín;29002;2022;Población municipal;2487;
Alfarnate;29003;2022;Población municipal;1039;
Alfarnatejo;29004;2022;Población municipal;364;
Algarrobo;29005;2022;Población municipal;6625;
Algatocín;29006;2022;Población municipal;826;
Alhaurín de la Torre;29007;2022;Población municipal;42531;
Alhaurín el Grande;29008;2022;Población municipal;26436;
Almáchar;29009;2022;Población municipal;1840;
Almargen;29010;2022;Población municipal;1927;
Almogía;29011;2022;Población municipal;3885;
Álora;29012;2022;Población municipal;13382;
Alozaina;29013;2022;Población municipal;2089;
Alpandeire;29014;2022;Población municipal;266;
Antequera;29015;2022;Población municipal;41184;
Árchez;29016;2022;Población municipal;396;
Archidona;29017;2022;Población municipal;8024;
Ardales;29018;2022;Población municipal;2520;
Arenas;29019;2022;Población municipal;1249;
Arriate;29020;2022;Población municipal;4110;
Atajate;29021;2022;Población municipal;183;
Benadalid;29022;2022;Población municipal;239;
Benahavís;29023;2022;Población municipal;8763;
Benalauría;29024;2022;Población municipal;434;
Benalmádena;29025;2022;Población municipal;73160;
Benamargosa;29026;2022;Población municipal;1519;
Benamocarra;29027;2022;Población municipal;3085;
Benaoján;29028;2022;Población municipal;1459;
Benarrabá;29029;2022;Población municipal;446;
Campillos;29032;2022;Población municipal;8372;
Canillas de Aceituno;29033;2022;Población municipal;1722;
Canillas de Albaida;29034;2022;Población municipal;796;
Cañete la Real;29035;2022;Población municipal;1584;
Carratraca;29036;2022;Población municipal;718;
